| %    | Decomp?  | Name                                | # of insns | Asm Path 
| 1.00 | true     | func_800D14D8                       | 8          | asm/us/main/matchings/misc/misc_46/func_800D14D8.s 
| 1.00 | true     | func_800D1AE8                       | 8          | asm/us/main/matchings/misc/misc_49/func_800D1AE8.s 
| 1.00 | true     | func_800D1D38                       | 8          | asm/us/main/matchings/misc/misc_50/func_800D1D38.s 
| 1.00 | true     | func_800D1F04                       | 8          | asm/us/main/matchings/misc/misc_51/func_800D1F04.s 
| 1.00 | true     | func_800D2010                       | 8          | asm/us/main/matchings/misc/misc_51/func_800D2010.s 
| 1.00 | true     | func_800D330C                       | 8          | asm/us/main/matchings/misc/misc_55/func_800D330C.s 
| 1.00 | true     | func_800D34F0                       | 8          | asm/us/main/matchings/misc/misc_57/func_800D34F0.s 
| 1.00 | true     | func_800CB614                       | 8          | asm/us/main/matchings/misc/ready_text/func_800CB614.s 
| 1.00 | true     | func_800CD730                       | 8          | asm/us/main/matchings/misc/select_a_character/func_800CD730.s 
| 1.00 | true     | CdReady                             | 8          | asm/us/main/matchings/psxsdk/libgs/gs_125/CdReady.s 
| 1.00 | true     | CdSync                              | 8          | asm/us/main/matchings/psxsdk/libgs/gs_125/CdSync.s 
| 1.00 | true     | func_800D46D4                       | 8          | asm/us/main/matchings/quads/quad_01/func_800D46D4.s 
| 1.00 | true     | func_800D5210                       | 8          | asm/us/main/matchings/quads/quad_03/func_800D5210.s 
| 1.00 | true     | func_800D54E0                       | 8          | asm/us/main/matchings/quads/quad_04/func_800D54E0.s 
| 1.00 | true     | func_800D56A8                       | 8          | asm/us/main/matchings/quads/quad_05/func_800D56A8.s 
| 1.00 | true     | func_800D5BF8                       | 8          | asm/us/main/matchings/quads/quad_06/func_800D5BF8.s 
| 1.00 | true     | func_800D79F0                       | 8          | asm/us/main/matchings/quads/quad_12/func_800D79F0.s 
| 1.00 | true     | func_800D7B50                       | 8          | asm/us/main/matchings/quads/quad_14/func_800D7B50.s 
| 1.00 | true     | func_800D7FD0                       | 8          | asm/us/main/matchings/quads/quad_15/func_800D7FD0.s 
| 1.00 | true     | func_800D85C8                       | 8          | asm/us/main/matchings/quads/quad_16/func_800D85C8.s 
| 1.00 | true     | func_800D666C                       | 8          | asm/us/main/matchings/quads/ready_line/func_800D666C.s 
| 1.00 | true     | func_800D6780                       | 8          | asm/us/main/matchings/quads/ready_line/func_800D6780.s 
| 1.00 | true     | func_800D76D8                       | 8          | asm/us/main/matchings/quads/title_quad/func_800D76D8.s 
| 1.00 | true     | func_80099CF0                       | 8          | asm/us/main/matchings/shots/shot_01/func_80099CF0.s 
| 1.00 | true     | func_80099F28                       | 8          | asm/us/main/matchings/shots/shot_02/func_80099F28.s 
| 1.00 | true     | func_8009A338                       | 8          | asm/us/main/matchings/shots/shot_02/func_8009A338.s 
| 1.00 | true     | func_8009A598                       | 8          | asm/us/main/matchings/shots/shot_02/func_8009A598.s 
| 1.00 | true     | func_8009A7D8                       | 8          | asm/us/main/matchings/shots/shot_02/func_8009A7D8.s 
| 1.00 | true     | func_8009A964                       | 8          | asm/us/main/matchings/shots/shot_02/func_8009A964.s 
| 1.00 | true     | func_8009AD08                       | 8          | asm/us/main/matchings/shots/shot_06/func_8009AD08.s 
| 1.00 | true     | func_8009AEBC                       | 8          | asm/us/main/matchings/shots/shot_07/func_8009AEBC.s 
| 1.00 | true     | func_8009B020                       | 8          | asm/us/main/matchings/shots/shot_08/func_8009B020.s 
| 1.00 | true     | func_8009B1C8                       | 8          | asm/us/main/matchings/shots/shot_09/func_8009B1C8.s 
| 1.00 | true     | func_8009B3C8                       | 8          | asm/us/main/matchings/shots/shot_09/func_8009B3C8.s 
| 1.00 | true     | func_8009B654                       | 8          | asm/us/main/matchings/shots/shot_10/func_8009B654.s 
| 1.00 | true     | func_8009B7D8                       | 8          | asm/us/main/matchings/shots/shot_11/func_8009B7D8.s 
| 1.00 | true     | func_8009BA4C                       | 8          | asm/us/main/matchings/shots/shot_12/func_8009BA4C.s 
| 1.00 | true     | func_8009BD08                       | 8          | asm/us/main/matchings/shots/shot_12/func_8009BD08.s 
| 1.00 | true     | func_8009BEF4                       | 8          | asm/us/main/matchings/shots/shot_13/func_8009BEF4.s 
| 1.00 | true     | func_8009C0D0                       | 8          | asm/us/main/matchings/shots/shot_14/func_8009C0D0.s 
| 1.00 | true     | func_8009C238                       | 8          | asm/us/main/matchings/shots/shot_15/func_8009C238.s 
| 1.00 | true     | func_8009C344                       | 8          | asm/us/main/matchings/shots/shot_15/func_8009C344.s 
| 1.00 | true     | func_8009C9D0                       | 8          | asm/us/main/matchings/shots/shot_17/func_8009C9D0.s 
| 1.00 | true     | func_8009CAA0                       | 8          | asm/us/main/matchings/shots/shot_17/func_8009CAA0.s 
| 1.00 | true     | func_8009CC44                       | 8          | asm/us/main/matchings/shots/shot_18/func_8009CC44.s 
| 1.00 | true     | func_8009CF18                       | 8          | asm/us/main/matchings/shots/shot_19/func_8009CF18.s 
| 1.00 | true     | func_8009D1D8                       | 8          | asm/us/main/matchings/shots/shot_20/func_8009D1D8.s 
| 1.00 | true     | func_8009D560                       | 8          | asm/us/main/matchings/shots/shot_21/func_8009D560.s 
| 1.00 | true     | func_8009DF40                       | 8          | asm/us/main/matchings/shots/shot_23/func_8009DF40.s 
| 1.00 | true     | func_8009E098                       | 8          | asm/us/main/matchings/shots/shot_23/func_8009E098.s 
| 1.00 | true     | func_8009EE40                       | 8          | asm/us/main/matchings/shots/shot_25/func_8009EE40.s 
| 1.00 | true     | func_8009F218                       | 8          | asm/us/main/matchings/shots/shot_26/func_8009F218.s 
| 1.00 | true     | func_8009F44C                       | 8          | asm/us/main/matchings/shots/shot_27/func_8009F44C.s 
| 1.00 | true     | func_8009F618                       | 8          | asm/us/main/matchings/shots/shot_28/func_8009F618.s 
| 1.00 | true     | func_8009FB38                       | 8          | asm/us/main/matchings/shots/shot_29/func_8009FB38.s 
| 1.00 | true     | func_8009FE38                       | 8          | asm/us/main/matchings/shots/shot_30/func_8009FE38.s 
| 1.00 | true     | func_800A0150                       | 8          | asm/us/main/matchings/shots/shot_31/func_800A0150.s 
| 1.00 | true     | func_800A035C                       | 8          | asm/us/main/matchings/shots/shot_32/func_800A035C.s 
| 1.00 | true     | func_800A0FC8                       | 8          | asm/us/main/matchings/shots/shot_33/func_800A0FC8.s 
| 1.00 | true     | func_800A16DC                       | 8          | asm/us/main/matchings/shots/shot_33/func_800A16DC.s 
| 1.00 | true     | func_800A23C0                       | 8          | asm/us/main/matchings/shots/shot_35/func_800A23C0.s 
| 1.00 | true     | func_800A3C50                       | 8          | asm/us/main/matchings/shots/shot_36/func_800A3C50.s 
| 1.00 | true     | func_800A46D4                       | 8          | asm/us/main/matchings/shots/shot_38/func_800A46D4.s 
| 1.00 | true     | func_800A6238                       | 8          | asm/us/main/matchings/shots/shot_41/func_800A6238.s 
| 1.00 | true     | func_800A62D0                       | 8          | asm/us/main/matchings/shots/shot_41/func_800A62D0.s 
| 1.00 | true     | func_800A6DCC                       | 8          | asm/us/main/matchings/shots/shot_43/func_800A6DCC.s 
| 1.00 | true     | func_800A7BC8                       | 8          | asm/us/main/matchings/shots/shot_45/func_800A7BC8.s 
| 1.00 | true     | func_800A9D98                       | 8          | asm/us/main/matchings/shots/shot_48/func_800A9D98.s 
| 1.00 | true     | func_800AAD44                       | 8          | asm/us/main/matchings/shots/shot_53/func_800AAD44.s 
